acq_date,id,path,acq_method,description,program_type,sequence_name,ch_filenames,uv_filenames
2023-02-14 13:18:27,0052,/Users/jonathan/0_jono_data/2023-02-14_0052_TESTING_COLUMN_FOR_SAMPLE_DEG.D,WINE-AVANTOR100X4_6C18-H2O-MEOH-2_1.M,"avantor-100-x-4.6-C18-H2O-MEOH-2.1%-gradientMostly-running-it-to-see-how-the-duplicate-0052-compares-to-0051-from-last-week-to-identify-whether-the-column-has-caused-the-low-absorbance-response-seen-in-Z3,-or-whether-the-Z3-sample-itself-had-degraded.",single run,,"DAD1D.ch, DAD1E.ch, DAD1A.ch, DAD1F.ch, DAD1B.ch, DAD1C.ch",DAD1.UV
2023-02-09 14:59:17,nc1,/Users/jonathan/0_jono_data/2023-02-09_14-59-17_NC1.D,2023-02-09_COLUMN_TEST_COFFEE_SHORT.M,avantor-100-x-4.6-C18-H2O-MEOH-2.1%-gradient,single run,,"DAD1D.ch, DAD1E.ch, DAD1A.ch, DAD1F.ch, DAD1B.ch, DAD1C.ch",DAD1.UV
2023-02-09 14:30:37,z3,/Users/jonathan/0_jono_data/2023-02-09_14-30-37_Z3.D,2023-02-09_COLUMN_TEST_COFFEE_SHORT.M,avantor-100-x-4.6-C18-H2O-MEOH-2.1%-gradient,single run,,"DAD1D.ch, DAD1E.ch, DAD1A.ch, DAD1F.ch, DAD1B.ch, DAD1C.ch",DAD1.UV
2023-02-09 13:49:55,espresso,/Users/jonathan/0_jono_data/2023-02-09_13-49-55_ESPRESSO.D,2023-02-09_COLUMN_TEST_COFFEE_SHORT.M,avantor-100-x-4.6-C18-H2O-MEOH-2.1%-gradient,single run,,"DAD1D.ch, DAD1E.ch, DAD1A.ch, DAD1F.ch, DAD1B.ch, DAD1C.ch",DAD1.UV
2023-02-08 16:05:13,z3,/Users/jonathan/0_jono_data/2023-02-08_16-05-13_Z3.D,AVANTOR100X4_6C18-H2O-MEOH-2_1-1.M,empty,single run,,"DAD1D.ch, DAD1E.ch, DAD1A.ch, DAD1F.ch, DAD1B.ch, DAD1C.ch",DAD1.UV
2023-02-08 09:58:32,0172,/Users/jonathan/0_jono_data/2023-02-07-WINES.sequence/030-1701.D,WINE-AVANTOR100X4_6C18-H2O-MEOH-2_1.M,empty,sequence,2023-02-07-WINES.sequence,"DAD1D.ch, DAD1E.ch, DAD1A.ch, DAD1F.ch, DAD1B.ch, DAD1C.ch, DAD1G.ch",
2023-02-08 09:04:59,0201,/Users/jonathan/0_jono_data/2023-02-07-WINES.sequence/029-1601.D,WINE-AVANTOR100X4_6C18-H2O-MEOH-2_1.M,empty,sequence,2023-02-07-WINES.sequence,"DAD1D.ch, DAD1E.ch, DAD1A.ch, DAD1F.ch, DAD1B.ch, DAD1C.ch, DAD1G.ch",
2023-02-08 08:11:25,0181,/Users/jonathan/0_jono_data/2023-02-07-WINES.sequence/028-1501.D,WINE-AVANTOR100X4_6C18-H2O-MEOH-2_1.M,empty,sequence,2023-02-07-WINES.sequence,"DAD1D.ch, DAD1E.ch, DAD1A.ch, DAD1F.ch, DAD1B.ch, DAD1C.ch, DAD1G.ch",
2023-02-08 07:17:50,0161,/Users/jonathan/0_jono_data/2023-02-07-WINES.sequence/027-1401.D,WINE-AVANTOR100X4_6C18-H2O-MEOH-2_1.M,empty,sequence,2023-02-07-WINES.sequence,"DAD1D.ch, DAD1E.ch, DAD1A.ch, DAD1F.ch, DAD1B.ch, DAD1C.ch, DAD1G.ch",
2023-02-08 06:24:17,0171,/Users/jonathan/0_jono_data/2023-02-07-WINES.sequence/026-1301.D,WINE-AVANTOR100X4_6C18-H2O-MEOH-2_1.M,empty,sequence,2023-02-07-WINES.sequence,"DAD1D.ch, DAD1E.ch, DAD1A.ch, DAD1F.ch, DAD1B.ch, DAD1C.ch, DAD1G.ch",
2023-02-08 05:30:40,0111,/Users/jonathan/0_jono_data/2023-02-07-WINES.sequence/020-1201.D,WINE-AVANTOR100X4_6C18-H2O-MEOH-2_1.M,empty,sequence,2023-02-07-WINES.sequence,"DAD1D.ch, DAD1E.ch, DAD1A.ch, DAD1F.ch, DAD1B.ch, DAD1C.ch, DAD1G.ch",
2023-02-08 04:37:05,0121,/Users/jonathan/0_jono_data/2023-02-07-WINES.sequence/019-1101.D,WINE-AVANTOR100X4_6C18-H2O-MEOH-2_1.M,empty,sequence,2023-02-07-WINES.sequence,"DAD1D.ch, DAD1E.ch, DAD1A.ch, DAD1F.ch, DAD1B.ch, DAD1C.ch, DAD1G.ch",
2023-02-08 03:43:32,0131,/Users/jonathan/0_jono_data/2023-02-07-WINES.sequence/018-1001.D,WINE-AVANTOR100X4_6C18-H2O-MEOH-2_1.M,empty,sequence,2023-02-07-WINES.sequence,"DAD1D.ch, DAD1E.ch, DAD1A.ch, DAD1F.ch, DAD1B.ch, DAD1C.ch, DAD1G.ch",
2023-02-08 02:49:59,0192,/Users/jonathan/0_jono_data/2023-02-07-WINES.sequence/017-0901.D,WINE-AVANTOR100X4_6C18-H2O-MEOH-2_1.M,empty,sequence,2023-02-07-WINES.sequence,"DAD1D.ch, DAD1E.ch, DAD1A.ch, DAD1F.ch, DAD1B.ch, DAD1C.ch, DAD1G.ch",
